player,Runs,Avg_x,S/R,Wkts,Avg_y,E/R,Catches,Stumping,Credits,Player Type,Team_x,Team_y,Total points,average points,match played,total runs ,total wickets,total_dismissals
A D Russell,0.0,0.0,0.0,19.0,15.53,10.06,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
A Mishra,0.0,0.0,0.0,1.0,20.0,10.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Abhishek Sharma,484.0,32.27,204.22,2.0,25.5,7.29,0.0,0.0,8.5,ALL,SRH,0,0.0,0.0,0.0,0.0,0,0.0
Abishek Porel,327.0,32.7,159.51,0.0,0.0,0.0,0.0,0.0,6.5,WK,DC,0,0.0,0.0,0.0,0.0,0,0.0
Aiden Markram,220.0,24.44,124.29,0.0,0.0,0.0,0.0,0.0,8.0,ALL,LSG,0,0.0,0.0,0.0,0.0,0,0.0
Ajinkya Rahane,242.0,20.17,123.47,0.0,0.0,0.0,0.0,0.0,7.5,BAT,KKR,0,0.0,0.0,0.0,0.0,0,0.0
Akash Deep,0.0,0.0,0.0,1.0,55.0,15.7,0.0,0.0,7.0,BOWL,LSG,0,0.0,0.0,0.0,0.0,0,0.0
Andre Russell,222.0,31.71,185.0,0.0,0.0,0.0,0.0,0.0,8.5,ALL,KKR,0,0.0,0.0,0.0,0.0,0,0.0
Anrich Nortje,0.0,0.0,0.0,7.0,42.0,13.36,0.0,0.0,8.0,BOWL,KKR,0,0.0,0.0,0.0,0.0,0,0.0
Anuj Rawat,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.5,WK,GT,0,0.0,0.0,0.0,0.0,0,5.0
Arshdeep Singh,0.0,0.0,0.0,19.0,26.58,10.03,0.0,0.0,8.5,BOWL,PBKS,0,0.0,0.0,0.0,0.0,0,0.0
Ashutosh Sharma,189.0,27.0,167.26,0.0,0.0,0.0,0.0,0.0,7.0,BAT,DC,0,0.0,0.0,0.0,0.0,0,0.0
Avesh Khan,0.0,0.0,0.0,19.0,27.68,9.59,0.0,0.0,8.0,BOWL,LSG,0,0.0,0.0,0.0,0.0,0,0.0
Axar Patel,235.0,29.38,131.28,11.0,30.64,7.66,0.0,0.0,9.0,ALL,DC,0,0.0,0.0,0.0,0.0,0,0.0
Ayush Badoni,235.0,29.38,137.43,0.0,0.0,0.0,0.0,0.0,7.0,BAT,LSG,0,0.0,0.0,0.0,0.0,0,0.0
C Green,255.0,31.88,143.26,10.0,30.3,8.62,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
D G Nalkande,0.0,0.0,0.0,3.0,15.0,9.31,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
David Miller,210.0,35.0,151.08,0.0,0.0,0.0,0.0,0.0,8.0,BAT,LSG,0,0.0,0.0,0.0,0.0,0,0.0
Deepak Hooda,145.0,18.13,138.1,0.0,0.0,0.0,0.0,0.0,7.0,BAT,CHE,0,0.0,0.0,0.0,0.0,0,0.0
Devdutt Padikkal,38.0,5.43,71.7,0.0,0.0,0.0,0.0,0.0,7.0,BAT,RCB,0,0.0,0.0,0.0,0.0,0,0.0
Donovan Ferreira,8.0,4.0,72.73,0.0,0.0,0.0,0.0,0.0,7.0,ALL,DC,0,0.0,0.0,0.0,0.0,0,0.0
Dushmantha Chameera,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,7.0,BOWL,DC,0,0.0,0.0,0.0,0.0,0,0.0
Faf Du Plessis,438.0,29.2,161.62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
G Gerald Coetzee,0.0,0.0,0.0,13.0,26.23,10.18,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
G J Maxwell,0.0,0.0,0.0,6.0,21.5,8.06,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
H Klaasen,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,10.0
H V Patel,0.0,0.0,0.0,24.0,19.88,9.73,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Harshit Rana,0.0,0.0,0.0,19.0,20.16,9.08,0.0,0.0,8.0,BOWL,KKR,0,0.0,0.0,0.0,0.0,0,0.0
Heinrich Klaasen,479.0,39.92,171.07,0.0,0.0,0.0,0.0,0.0,9.0,WK,SRH,0,0.0,0.0,0.0,0.0,0,0.0
I D N Thushara,0.0,0.0,0.0,8.0,32.13,9.88,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Ishan Kishan,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,WK,SRH,0,0.0,0.0,0.0,0.0,0,9.0
Ishan Kishan,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,8.0,WK,SRH,0,0.0,0.0,0.0,0.0,0,13.0
Ishant Sharma,0.0,0.0,0.0,10.0,26.5,9.81,0.0,0.0,7.5,BOWL,GT,0,0.0,0.0,0.0,0.0,0,0.0
J B Little,0.0,0.0,0.0,4.0,11.25,11.25,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
J J Bumrah,0.0,0.0,0.0,20.0,16.8,6.48,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
J M Sharma,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,12.0
J M Sharma,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,5.0
Jake Fraser-McGurk,330.0,36.67,234.04,0.0,0.0,0.0,0.0,0.0,7.5,BAT,DC,0,0.0,0.0,0.0,0.0,0,0.0
Jitesh Sharma,187.0,17.0,131.69,0.0,0.0,0.0,0.0,0.0,7.5,WK,RCB,0,0.0,0.0,0.0,0.0,0,0.0
Jos Buttler,359.0,39.89,140.78,0.0,0.0,0.0,0.0,0.0,9.0,WK,GT,0,0.0,0.0,0.0,0.0,0,0.0
K A Maharaj,0.0,0.0,0.0,2.0,19.5,6.5,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
K D Karthik,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,5.0
K D Karthik,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,10.0
K Kagiso Rabada,0.0,0.0,0.0,11.0,33.82,8.86,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
K L Rahul,520.0,37.14,136.13,0.0,0.0,0.0,14.0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,16.0
K R Sen,0.0,0.0,0.0,6.0,20.33,10.17,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Khaleel Ahmed,0.0,0.0,0.0,17.0,28.18,9.58,0.0,0.0,7.5,BOWL,CHE,0,0.0,0.0,0.0,0.0,0,0.0
Khaleel Ahmed,0.0,0.0,0.0,17.0,28.18,9.58,0.0,0.0,7.5,BOWL,CHE,0,0.0,0.0,0.0,0.0,0,0.0
