Name,Team,Total points,average points,match played,total runs ,total wickets
Nicholas Pooran,LSG,408.4,68,6,349,-
Sai Sudharsan,GT,301.8,50.3,6,329,-
Mohammed Siraj,GT,286.1,47.6,6,0,10
Shreyas Iyer,PBKS,279.6,55.9,5,250,-
Priyansh Arya,PBKS,273,54.6,5,194,-
Shardul Thakur,LSG,270.7,45.1,6,8,11
Digvesh Rathi,LSG,268.7,44.7,6,0,8
Phil Salt,RCB,262.2,43.7,6,208,-
Prasidh Krishna,GT,256.4,42.7,6,0,10
Kuldeep Yadav,DC,253.9,63.4,4,5,8
Sunil Narine,KKR,252.2,50.4,5,125,5
Khaleel Ahmed,CSK,247.1,41.1,6,0,10
Noor Ahmad,CSK,244.8,40.8,6,1,12
Abhishek Sharma,SRH,234.2,39,6,192,-
Josh Hazlewood,RCB,234,39,6,0,9
Mitchell Marsh,LSG,233.2,46.6,5,265,-
Sai Kishore,GT,225.5,37.5,6,1,10
KL Rahul,DC,222.2,74,3,185,-
Harshal Patel,SRH,220.6,44.1,5,20,8
Pat Cummins,SRH,207.8,34.6,6,56,4
Ajinkya Rahane,KKR,207.6,34.6,6,204,-
Varun Chakravarthy,KKR,205.7,34.2,6,0,8
Bhuvneshwar Kumar,RCB,202.6,40.5,5,2,6
Mitchell Starc,DC,202.1,50.5,4,2,9
Arshdeep Singh,PBKS,200.3,40,5,1,7
Shubman Gill,GT,194.6,32.4,6,208,-
Travis Head,SRH,194.4,32.4,6,214,-
Virat Kohli,RCB,193,32.1,6,248,-
Riyan Parag,RR,190.9,31.8,6,165,-
Jos Buttler,GT,190.8,31.8,6,218,-
Krunal Pandya,RCB,187.4,31.2,6,23,8
Hardik Pandya,MI,183.7,45.9,4,81,10
Yashasvi Jaiswal,RR,181.2,30.2,6,182,-
Yash Dayal,RCB,179.9,29.9,6,0,7
Vipraj Nigam,DC,179.9,44.9,4,40,5
Aniket Verma,SRH,178.6,29.7,6,141,-
Jofra Archer,RR,175.8,29.3,6,21,5
Aiden Markram,LSG,174.8,29.1,6,202,-
Rajat Patidar,RCB,158.1,26.3,6,186,-
Vaibhav Arora,KKR,158.1,31.6,5,0,7
Maheesh Theekshana,RR,150.5,25,6,8,6
Nitish Rana,RR,150.4,25,6,117,-
Heinrich Klaasen,SRH,147.2,24.5,6,173,-
Sanju Samson,RR,147.2,24.5,6,193,-
Harshit Rana,KKR,144.7,24.1,6,19,7
Rashid Khan,GT,142.4,23.7,6,22,4
Ruturaj Gaikwad,CSK,142.4,28.4,5,122,-
Sandeep Sharma,RR,133.7,22.2,6,6,5
Wanindu Hasaranga,RR,132.6,33.1,4,8,6
Avesh Khan,LSG,131,26.2,5,2,4
Quinton de Kock,KKR,129.8,21.6,6,141,-
Vignesh Puthur,MI,127.2,31.8,4,0,6
Suryakumar Yadav,MI,127,25.4,5,199,-
Tim David,RCB,125.3,20.8,6,92,-
Angkrish Raghuvanshi,KKR,125.1,25,5,133,-
Shivam Dube,CSK,124.9,20.8,6,137,-
Rinku Singh,KKR,123.1,20.5,6,114,-
Lockie Ferguson,PBKS,122.5,30.6,4,4,5
Ravi Bishnoi,LSG,122.3,20.3,6,0,6
Deepak Chahar,MI,121.7,24.3,5,28,4
Shimron Hetmyer,RR,118.5,19.7,6,149,-
Mohammed Shami,SRH,118.1,19.6,6,10,5
Dhruv Jurel,RR,114.8,19.1,6,159,-
Washington Sundar,GT,112.2,56.1,2,51,1
Matheesha Pathirana,CSK,111.2,27.8,4,0,5
Sherfane Rutherford,GT,108.5,18,6,158,-
Rachin Ravindra,CSK,108.2,18,6,149,-
Zeeshan Ansari,SRH,106.3,26.5,4,0,4
Ravindra Jadeja,CSK,104.6,17.4,6,85,2
Tristan Stubbs,DC,104.1,26,4,117,-
Suyash Sharma,RCB,104.1,20.8,5,0,2
Venkatesh Iyer,KKR,99.6,16.6,6,114,-
Ashutosh Sharma,DC,99.1,33,3,67,-
Glenn Maxwell,PBKS,97.5,19.5,5,34,3
Naman Dhir,MI,96.7,19.3,5,92,-
Vijay Shankar,CSK,95.8,23.9,4,109,-
Devdutt Padikkal,RCB,94.1,15.6,6,119,-
Faf du Plessis,DC,93,31,3,81,-
Tushar Deshpande,RR,90.8,18.1,5,6,5
Prabhsimran Singh,PBKS,90.4,18,5,133,-
Shashank Singh,PBKS,90.1,18,5,108,-
Ravichandran Ashwin,CSK,87.8,14.6,6,12,5
Liam Livingstone,RCB,86.5,14.4,6,83,2
Ashwani Kumar,MI,85.7,42.8,2,0,5
Marco Jansen,PBKS,85.5,17.1,5,42,3
Ishan Kishan,SRH,83.7,13.9,6,136,-
Jitesh Sharma,RCB,83.7,13.9,6,88,-
Nehal Wadhera,PBKS,83.1,20.7,4,141,-
Axar Patel,DC,82.5,20.6,4,58,-
Ryan Rickelton,MI,81.8,16.3,5,108,-
Trent Boult,MI,81.4,16.2,5,2,5
Moeen Ali,KKR,80.5,26.8,3,5,3
Mohit Sharma,DC,79.4,19.8,4,1,2
Yuzvendra Chahal,PBKS,75.2,15,5,0,2
Abishek Porel,DC,74.6,18.6,4,74,-
MS Dhoni,CSK,66.4,11,6,104,-
Arshad Khan,GT,66.3,16.5,4,1,2
Akash Deep,LSG,66.1,22,3,0,3
Mukesh Kumar,DC,65.5,16.3,4,0,3
M Shahrukh Khan,GT,64.4,10.7,6,62,-
Eshan Malinga,SRH,63.5,63.5,1,0,2
Abdul Samad,LSG,62.6,12.5,5,61,-
Ayush Badoni,LSG,61.7,10.2,6,109,-
Tilak Varma,MI,56.1,11.2,5,151,-
Devon Conway,CSK,53.7,17.9,3,94,-
Kumar Kartikeya,RR,53.5,17.8,3,1,2
Will Jacks,MI,51.7,12.9,4,54,1
Kagiso Rabada,GT,50.4,25.2,2,7,2
Prince Yadav,LSG,48.9,24.4,2,0,1
Nitish Kumar Reddy,SRH,39.7,6.6,6,112,-
Manimaran Siddharth,LSG,38.4,19.2,2,0,2
Rahul Tewatia,GT,36.5,6,6,30,-
Andre Russell,KKR,36.4,6,6,17,5
Mitchell Santner,MI,36,7.2,5,39,1
Kamindu Mendis,SRH,34.6,17.3,2,28,1
David Miller,LSG,34.2,5.7,6,97,-
Marcus Stoinis,PBKS,34.1,6.8,5,59,-
Manish Pandey,KKR,30.2,30.2,1,19,-
Ramandeep Singh,KKR,29.2,4.8,6,29,-
Vijaykumar Vyshak,PBKS,23.7,23.7,1,0,-
Shubham Dubey,RR,23.2,7.7,3,44,-
Rahul Tripathi,CSK,22.5,5.6,4,46,-
Kulwant Khejroliya,GT,22.1,22.1,1,0,1
Sameer Rizvi,DC,17.9,8.9,2,24,-
Rohit Sharma,MI,17.7,4.4,4,38,-
Adam Zampa,SRH,15.8,7.9,2,0,2
Yash Thakur,PBKS,14.6,7.3,2,0,1
Jasprit Bumrah,MI,12.7,12.7,1,0,-
Mukesh Choudhary,CSK,12.2,6.1,2,0,1
Rasikh Salam,RCB,12.1,6,2,0,1
Nathan Ellis,CSK,10.4,10.4,1,0,1
Jake Fraser-McGurk,DC,9.7,2.4,4,46,-
Mujeeb Ur Rahman,MI,8.1,8.1,1,0,1
Anshul Kamboj,CSK,7.6,7.6,1,3,1
Jaydev Unadkat,SRH,2.9,2.9,1,0,-
Jamie Overton,CSK,2.8,2.8,1,11,-
Himmat Singh,LSG,0,0,1,0,-
Raj Bawa,MI,0,0,1,0,-
Yudhvir Singh,RR,-0.4,-0.4,1,0,-
Suryansh Shedge,PBKS,-2.2,-0.8,3,2,-
Fazalhaq Farooqi,RR,-4.2,-2.1,2,0,-
Satyanarayana Raju,MI,-5.6,-2.8,2,1,1
Spencer Johnson,KKR,-5.9,-1.5,4,2,1
Ishant Sharma,GT,-7.2,-2.4,3,0,1
Wiaan Mulder,SRH,-7.4,-7.4,1,9,-
Shahbaz Ahmed,LSG,-8.9,-8.9,1,9,-
Azmatullah Omarzai,PBKS,-11.9,-11.9,1,16,-
Simarjeet Singh,SRH,-13.3,-3.4,4,3,2
Deepak Hooda,CSK,-18.8,-6.3,3,7,-
Robin Minz,MI,-19.8,-9.9,2,6,-
Abhinav Manohar,SRH,-20.7,-5.2,4,6,-
Rishabh Pant,LSG,-21.5,-3.6,6,40,-
Sam Curran,CSK,-24.5,-12.3,2,12,-
